radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,301,17401,0,12.520723,53.080123,17534,105,1,1303320171,1662730667,0
GSM,262,1,5169,2111,0,12.513935,53.11701,14904,194,1,1303320171,1662723338,0
GSM,262,2,301,5710,0,12.602024,53.116796,500,199,1,1303320171,1662728021,0
GSM,262,2,301,9220,0,12.557595,53.040485,19018,200,1,1303320171,1662734543,0
GSM,262,2,301,8432,0,12.504257,53.088891,20139,200,1,1303320171,1662735371,0
GSM,262,1,1862,49260,0,9.91725,53.576262,2817,199,1,1303329248,1662711596,0
GSM,262,1,1862,49277,0,9.90525,53.569075,7453,199,1,1303329248,1662686372,0
GSM,262,2,404,14261,0,9.681634,53.637242,7939,199,1,1303330014,1662701388,0
GSM,262,2,404,14852,0,9.681403,53.647732,5382,200,1,1303330014,1662701164,0
GSM,262,2,404,25152,0,9.705505,53.656367,15202,110,1,1303330459,1662701164,0
GSM,262,2,323,33731,0,13.254804,52.538533,1601,160,1,1303363983,1662729210,0
GSM,262,2,321,713,0,13.295305,52.530219,4095,199,1,1303365435,1662700658,0
GSM,262,2,321,28842,0,13.305091,52.526134,1241,103,1,1303365435,1662704114,0
GSM,262,2,321,712,0,13.315468,52.532613,2690,106,1,1303365556,1662713401,0
GSM,262,2,404,25232,0,9.718873,53.581512,22920,104,1,1303371971,1662701885,0
GSM,262,2,404,5251,0,9.697573,53.591807,4453,103,1,1303372092,1662701889,0
GSM,262,1,5986,36162,0,9.792068,53.557672,8084,199,1,1303372092,1662687032,0
GSM,262,2,413,44683,0,9.804842,53.613921,5263,200,1,1303376571,1662702472,0
GSM,262,2,404,14853,0,9.62638,53.634048,17372,200,1,1303396905,1662701062,0
GSM,262,2,404,2092,0,9.452286,53.584629,11863,111,1,1303397026,1662688995,0
GSM,262,2,308,28741,0,13.342736,52.488915,1713,199,1,1303402957,1662707037,0
GSM,262,2,308,733,0,13.345683,52.48525,4633,115,1,1303402957,1662719257,0
GSM,262,2,308,28601,0,13.337285,52.496947,1613,200,1,1303402957,1662689791,0
GSM,262,2,308,271,0,13.340084,52.480398,7179,122,1,1303402957,1662708472,0
GSM,262,1,14115,60463,0,13.393705,52.442966,3772,108,1,1303411552,1662702404,0
GSM,262,2,318,14532,0,13.418548,52.527152,2647,106,1,1303471098,1662712834,0
GSM,262,2,318,14533,0,13.407434,52.527433,1611,102,1,1303471098,1662702087,0
GSM,262,2,318,14531,0,13.413485,52.530568,1330,108,1,1303471098,1662703383,0
GSM,262,2,318,36172,0,13.406859,52.528552,1640,104,1,1303471098,1662712834,0
GSM,262,2,318,31202,0,13.41988,52.532104,624,199,1,1303471098,1662684314,0
GSM,262,2,317,1521,0,13.423227,52.522696,1360,105,1,1303471340,1662703000,0
GSM,262,2,318,15212,0,13.428333,52.523484,6485,108,1,1303471340,1662703170,0
GSM,262,2,318,15211,0,13.426988,52.529362,2225,108,1,1303471824,1662703166,0
GSM,262,2,318,15213,0,13.419825,52.523563,1954,107,1,1303473156,1662703170,0
GSM,262,2,563,19172,0,9.885586,51.556327,1810,199,1,1303478724,1662703425,0
GSM,262,2,563,19353,0,9.880567,51.537958,24992,200,1,1303478724,1662732623,0
GSM,262,2,563,2111,0,9.910049,51.611121,9551,102,1,1303478724,1662729505,0
GSM,262,2,563,3871,0,9.909452,51.584703,18111,199,1,1303487438,1662697663,0
GSM,262,2,563,22031,0,9.884598,51.541691,8990,200,1,1303488648,1662732623,0
